NAICS2022_LABEL,EMP,NAME,GEO_ID,NAICS2022,us
Printing Ink Manufacturing,8960,United States,0100000US,32591,1
Printing Ink Manufacturing,8960,United States,0100000US,325910,1
Explosives Manufacturing,8075,United States,0100000US,32592,1
Explosives Manufacturing,8075,United States,0100000US,325920,1
All Other Chemical Product and Preparation Manufacturing,69865,United States,0100000US,32599,1
Custom Compounding of Purchased Resins,20586,United States,0100000US,325991,1
"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",6800,United States,0100000US,325992,1
All Other Miscellaneous Chemical Product and Preparation Manufacturing,42479,United States,0100000US,325998,1
Plastics and Rubber Products Manufacturing,825424,United States,0100000US,326,1
Plastics product manufacturing,683088,United States,0100000US,3261,1
Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,105570,United States,0100000US,32611,1
Plastics Bag and Pouch Manufacturing,36211,United States,0100000US,326111,1
Plastics Packaging Film and Sheet (including Laminated) Manufacturing,35416,United States,0100000US,326112,1
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,33943,United States,0100000US,326113,1
"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",45502,United States,0100000US,32612,1
Unlaminated Plastics Profile Shape Manufacturing,19097,United States,0100000US,326121,1
Plastics Pipe and Pipe Fitting Manufacturing,26405,United States,0100000US,326122,1
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",12339,United States,0100000US,32613,1
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",12339,United States,0100000US,326130,1
Polystyrene Foam Product Manufacturing,29075,United States,0100000US,32614,1
Polystyrene Foam Product Manufacturing,29075,United States,0100000US,326140,1
Urethane and Other Foam Product (except Polystyrene) Manufacturing,34328,United States,0100000US,32615,1
Urethane and Other Foam Product (except Polystyrene) Manufacturing,34328,United States,0100000US,326150,1
Plastics Bottle Manufacturing,38380,United States,0100000US,32616,1
Plastics Bottle Manufacturing,38380,United States,0100000US,326160,1
Other Plastics Product Manufacturing,417894,United States,0100000US,32619,1
Plastics Plumbing Fixture Manufacturing,19316,United States,0100000US,326191,1
All Other Plastics Product Manufacturing,398578,United States,0100000US,326199,1
Rubber product manufacturing,142336,United States,0100000US,3262,1
Tire Manufacturing,58994,United States,0100000US,32621,1
Tire Manufacturing (except Retreading),52718,United States,0100000US,326211,1
Tire Retreading,6276,United States,0100000US,326212,1
